id,make,model,date,measured_by,Re,fs,Zmax,f1,f2,deltaM_kg,fo,Dd_m,Zmin,f3,Z12,R0,Qms,Qes,Qts,mms_kg,Rms,BL,Cms,Sd_m2,Vas_m3,Le,Znom,fLe,KLe,Xmax_mm,Xlim_mm,Pe,Hg_mm,Vd_cm3,notes
1,"Gladen","M-Line M8 Free Air",2026-05-03,"",2.7,49,0,0,0,0,0,0.1311,0,0,0,0,7.1,0.63,0.579,0.0145,0.6288,4.374,0.000728,0.0135,0.018841,0,3,0,0,0,0,0,0,0,""
2,"Alpine","HD Status HDZ-110",2026-05-01,"",6.025,30.8,0,0,0,0,0,0.3,0,0,0,0,6.048,0.519,0.478,0.387143,12.368,29.491,6.9e-05,0.070686,0.048921,0,1,0,0,0,0,400,0,0,""
3,"Hertz","CS 250 S4",2026-05-01,"",3.6,30,0,0,0,0,0,0.216,0,0,0,0,9.4,0.56,0.52,0.154,3.0881,13.7,0.00018,0.036644,0.0345,0.00333,4,0,0,12.5,16.5,300,0,458.05,""
4,"DD Audio","C6.5C Mid-Woofer",2026-04-28,"Datasheet",2.05,49.37,0,0,0,0,0,0.128,0,0,0,0,3.912,0.359,0.329,0.013422,1.0643,4.879,0.000774,0.012868,0.018203,0.000177,2,0,0,8,12,0,0,102.944,""
5,"JBL","Stage82",2026-04-28,"Datasheet",3.6,41.6,0,0,0,0,0,0.163,0,0,0,0,5.46,0.37,0.35,0.0562,2.6904,11.955,0.00026,0.020867,0.0159,0.00148,4,0,0,6.15,10,200,8,128.332,""
6,"DD Audio","1506A",2026-04-20,"DD Audio Datasheet",1,47.78,0,0,0,0,0,0.1397,0,0,0,0,5.152,0.864,0.74,0.154105,8.9798,7.318,7.2e-05,0.015328,0.002398,0,0,0,0,10,48,750,0,153.28,"Imported from DD Audio manufacturer datasheet"
7,"DD Audio","2508G (ESP)",2026-04-20,"DD Audio Datasheet",1,42,0,0,0,0,0,0.1842,0,0,0,0,5.88,0.62,0.56,0.311742,13.9909,11.519,4.6e-05,0.026634,0.00464,0,0,0,0,20,57,1200,0,532.68,"Imported from DD Audio manufacturer datasheet"
8,"DD Audio","310E",2026-04-20,"DD Audio Datasheet",1,39,0,0,0,0,0,0.2032,0,0,0,0,5.18,0.688,0.61,0.217586,10.2931,8.803,7.7e-05,0.032429,0.01143,0,0,0,0,14,30,500,0,454.006,"Imported from DD Audio manufacturer datasheet"
9,"DD Audio","312E",2026-04-20,"DD Audio Datasheet",1,37,0,0,0,0,0,0.254,0,0,0,0,5.44,0.73,0.64,0.302381,12.9222,9.813,6.1e-05,0.050671,0.02231,0,0,0,0,14,30,500,0,709.394,"Imported from DD Audio manufacturer datasheet"
10,"DD Audio","508E",2026-04-20,"DD Audio Datasheet",1,44,0,0,0,0,0,0.1588,0,0,0,0,5.01,0.82,0.71,0.173717,9.586,2.42,7.5e-05,0.019793,0.00419,0,0,0,0,14,22,500,0,277.102,"Imported from DD Audio manufacturer datasheet"
11,"DD Audio","510E",2026-04-20,"DD Audio Datasheet",1,38,0,0,0,0,0,0.2032,0,0,0,0,4.96,0.76,0.65,0.07061,3.399,1.489,0.000248,0.032429,0.0371,0,0,0,0,18,30,700,0,583.722,"Imported from DD Audio manufacturer datasheet"
12,"DD Audio","512E",2026-04-20,"DD Audio Datasheet",1,33,0,0,0,0,0,0.254,0,0,0,0,4.88,0.73,0.64,0.281189,11.9474,2.826,8.3e-05,0.050671,0.03016,0,0,0,0,18,30,700,0,912.078,"Imported from DD Audio manufacturer datasheet"
13,"DD Audio","515E",2026-04-20,"DD Audio Datasheet",1,29,0,0,0,0,0,0.3302,0,0,0,0,6.2,0.89,0.77,0.336058,9.8764,2.623,9e-05,0.085634,0.09333,0,0,0,0,18,30,700,0,1541.41,"Imported from DD Audio manufacturer datasheet"
14,"DD Audio","606D",2026-04-20,"DD Audio Datasheet",1,43.74,0,0,0,0,0,0.1365,0,0,0,0,4.907,0.558,0.501,0.091674,5.1344,2.125,0.000144,0.014639,0.004395,0,0,0,0,9,56,600,0,131.751,"Imported from DD Audio manufacturer datasheet"
15,"DD Audio","608F",2026-04-20,"DD Audio Datasheet",1,38,0,0,0,0,0,0.1651,0,0,0,0,7.76,0.5,0.46,0.154274,4.7467,2.714,0.000114,0.021408,0.0074,0,0,0,0,18,60,1000,0,385.344,"Imported from DD Audio manufacturer datasheet"
16,"DD Audio","610F",2026-04-20,"DD Audio Datasheet",1,34,0,0,0,0,0,0.2159,0,0,0,0,5.047,0.454,0.416,0.122985,5.2057,2.406,0.000178,0.03661,0.03391,0,0,0,0,22,60,1000,0,805.42,"Imported from DD Audio manufacturer datasheet"
